"Aula B101", "Aula B101", "B101"
"Aula B102", "Aula B102", "B102"
"Aula B103", "Aula B103", "B103"
"Aula B104", "Aula B104", "B104"
"Aula B105", "Aula B105", "B105"
"Aula 1 piano terra", "Aula 1 piano terra", "1 piano terra", "1"
"Aula 1-2", "Aula 1-2", "1-2"
"Aula 10", "Aula 10", "10"
"Aula 11", "Aula 11", "11"
"Aula 11 primo piano", "Aula 11 primo piano", "11 primo piano", "11"
"Aula 12", "Aula 12", "12"
"Aula 12 primo piano", "Aula 12 primo piano", "12 primo piano", "12"
"Aula 13 primo piano", "Aula 13 primo piano", "13 primo piano", "13"
"Aula 14", "Aula 14", "14"
"Aula 14 primo piano", "Aula 14 primo piano", "14 primo piano", "14"
"Aula 15", "Aula 15", "15"
"Aula 16", "Aula 16", "16"
"Aula 18", "Aula 18", "18"
"Aula 18", "Aula 18", "18"
"Aula 1A", "Aula 1A", "1A"
"Aula 1B", "Aula 1B", "1B"
"Aula 1B", "Aula 1B", "1B"
"Aula 1B", "Aula 1B", "1B"
"Aula 1C", "Aula 1C", "1C"
"Aula 1D", "Aula 1D", "1D"
"Aula 1E", "Aula 1E", "1E"
"Aula 1F", "Aula 1F", "1F"
"Aula 1P", "Aula 1P", "1P"
"Aula 1R", "Aula 1R", "1R"
"Aula 20 - Andreatta", "Aula 20 - Andreatta", "20 - Andreatta", "20"
"Aula 20 primo piano", "Aula 20 primo piano", "20 primo piano", "20"
"Aula 21", "Aula 21", "21"
"Aula 2A", "Aula 2A", "2A"
"Aula 2A", "Aula 2A", "2A"
"Aula 2B", "Aula 2B", "2B"
"Aula 2B", "Aula 2B", "2B"
"Aula 2C", "Aula 2C", "2C"
"Aula 2C", "Aula 2C", "2C"
"Aula 2C", "Aula 2C", "2C"
"Aula 2D", "Aula 2D", "2D"
"Aula 2D", "Aula 2D", "2D"
"Aula 2E", "Aula 2E", "2E"
"Aula 2F", "Aula 2F", "2F"
"Aula 2M", "Aula 2M", "2M"
"Aula 2N", "Aula 2N", "2N"
"Aula 2Q", "Aula 2Q", "2Q"
"Aula 2Q", "Aula 2Q", "2Q"
"Aula 2R", "Aula 2R", "2R"
"Aula 3", "Aula 3", "3"
"Aula 3 piano terra", "Aula 3 piano terra", "3 piano terra", "3"
"Aula 3C", "Aula 3C", "3C"
"Aula 3D", "Aula 3D", "3D"
"Aula 3E", "Aula 3E", "3E"
"Aula 3G", "Aula 3G", "3G"
"Aula 4 piano terra", "Aula 4 piano terra", "4 piano terra", "4"
"Aula 4 piano terra", "Aula 4 piano terra", "4 piano terra", "4"
"Aula 4A", "Aula 4A", "4A"
"Aula 4B", "Aula 4B", "4B"
"Aula 5", "Aula 5", "5"
"Aula 6", "Aula 6", "6"
"Aula 6 piano terra", "Aula 6 piano terra", "6 piano terra", "6"
"Aula 7", "Aula 7", "7"
"Aula 7 piano terra", "Aula 7 piano terra", "7 piano terra", "7"
"Aula 8", "Aula 8", "8"
"Aula 9", "Aula 9", "9"
"Aula A101", "Aula A101", "A101"
"Aula A102", "Aula A102", "A102"
"Aula A103", "Aula A103", "A103"
"Aula A104", "Aula A104", "A104"
"Aula A105", "Aula A105", "A105"
"Aula A106", "Aula A106", "A106"
"Aula A107", "Aula A107", "A107"
"Aula A108", "Aula A108", "A108"
"Aula A203", "Aula A203", "A203"
"Aula A204", "Aula A204", "A204"
"Aula A205", "Aula A205", "A205"
"Aula A206", "Aula A206", "A206"
"Aula A207", "Aula A207", "A207"
"Aula A208", "Aula A208", "A208"
"Aula A209", "Aula A209", "A209"
"Aula A210", "Aula A210", "A210"
"Aula A211", "Aula A211", "A211"
"Aula A212", "Aula A212", "A212"
"Aula A213", "Aula A213", "A213"
"Aula A214", "Aula A214", "A214"
"Aula A215", "Aula A215", "A215"
"Aula A218", "Aula A218", "A218"
"Aula A219", "Aula A219", "A219"
"Aula A220", "Aula A220", "A220"
"Aula A221", "Aula A221", "A221"
"Aula A222", "Aula A222", "A222"
"Aula A223", "Aula A223", "A223"
"Aula A224", "Aula A224", "A224"
"Aula Azzurra", "Aula Azzurra", "Azzurra"
"Aula informatica 1 - 1Â° p.", "Aula informatica 1 - 1Â° p.", "informatica 1 - 1Â° p.", "informatica 1"
"Aula informatica 2 - P.T.", "Aula informatica 2 - P.T.", "informatica 2 - P.T.", "informatica 2"
"Aula informatica 2 - P.T.", "Aula informatica 2 - P.T.", "informatica 2 - P.T.", "informatica 2"
"Aula informatica 2 - P.T.", "Aula informatica 2 - P.T.", "informatica 2 - P.T.", "informatica 2"
"Aula Magna", "Aula Magna", "Magna"
"Aula pc A201", "Aula pc A201", "pc A201", "A201"
"Aula pc A202", "Aula pc A202", "pc A202", "A202"
"Aula pc B106", "Aula pc B106", "pc B106", "B106"
"Aula Rossa", "Aula Rossa", "Rossa"
"Aula T1/A", "Aula T1/A", "T1/A"
"Aula T1/B", "Aula T1/B", "T1/B"
"Aula T2", "Aula T2", "T2"
"Aula T3", "Aula T3", "T3"
"Aula T4", "Aula T4", "T4"
"EALAB", "EALAB"
"Laboratorio 13", "Laboratorio 13"
"Laboratorio 2", "Laboratorio 2"
"Laboratorio 3", "Laboratorio 3"
"Laboratorio informatico 1", "Laboratorio informatico 1"
"LD Meccanica", "LD Meccanica"
"Sala Conferenze", "Sala Conferenze"
"studio docente", "studio docente"
